county,state,fips,total_cases,total_deaths,cfr,cfr_percent,mean_daily_cfr,median_daily_cfr,std_daily_cfr,min_daily_cfr,max_daily_cfr
Bowman,North Dakota,38011,682,9,0.013196480938416423,1.3196480938416422,0.00901763099543199,0.01220443120461739,0.006085464793183413,0.0,0.024691358024691357
Liberty,Florida,12077,1895,25,0.013192612137203167,1.3192612137203166,0.012667533499298287,0.014256619144602852,0.005816611470532505,0.0,0.025089605734767026
McClain,Oklahoma,40087,8112,107,0.01319033530571992,1.319033530571992,0.01195331556456024,0.012290833703539167,0.006593672529060432,0.0,0.03773584905660377
Humboldt,Nevada,32013,3260,43,0.013190184049079755,1.3190184049079754,0.021100359569551,0.012381784133772847,0.015262202617298937,0.0,0.07692307692307693
Waynesboro city,Virginia,51820,4094,54,0.013190034196384953,1.3190034196384954,0.011073848480898265,0.013182177695755339,0.0054743238490882135,0.0,0.018072289156626505
Emmet,Michigan,26047,4549,60,0.013189712024620796,1.3189712024620797,0.03236189115039888,0.02268225549210269,0.030737837666253497,0.0,0.3333333333333333
Union,Indiana,18161,1441,19,0.0131852879944483,1.31852879944483,0.008210870547204855,0.0121580547112462,0.006716011148600938,0.0,0.015781922525107604
Sequoyah,Oklahoma,40135,7130,94,0.013183730715287518,1.3183730715287518,0.04142509563291674,0.01237864077669903,0.07672803804704512,0.0,0.5
Wilkin,Minnesota,27167,1290,17,0.01317829457364341,1.317829457364341,0.054932185242321435,0.015587529976019185,0.0789228022934537,0.0,0.5
Tehama,California,06103,10550,139,0.013175355450236967,1.3175355450236967,0.05234586312390244,0.011252432582707812,0.17781571115380795,0.0,1.0
Putnam,Indiana,18133,7059,93,0.01317467063323417,1.317467063323417,0.02617528246859992,0.01710133403565975,0.03282113048016687,0.0,0.5
Johnson,Missouri,29101,8654,114,0.013173099144904091,1.317309914490409,0.007801073149725568,0.009781944161402078,0.004289337979458309,0.0,0.014289459884635553
Warren,North Carolina,37185,2733,36,0.013172338090010977,1.3172338090010975,0.013362416370670724,0.011254924029262802,0.007143947737917437,0.0,0.03508771929824561
