date,step_value,smooth_value
2021-11-13,26.3,26.743643408125386
2021-11-14,26.3,26.539778584823825
2021-11-15,24.1,26.154534231912443
2021-11-16,24.1,25.61679395939422
2021-11-17,24.1,24.957237493030302
2021-11-18,24.1,24.208340674339954
2021-11-19,24.1,23.404375460600566
2021-11-20,24.1,22.581409924847662
2021-11-21,24.1,21.7773082558749
2021-11-22,19.7,21.031730758234037
2021-11-23,19.7,20.38613385223502
2021-11-24,19.7,19.864784669213005
2021-11-25,19.7,19.47476105152843
2021-11-26,19.7,19.205951552566994
2021-11-27,19.7,19.0310554367397
2021-11-28,19.7,18.90558267948281
2021-11-29,17.3,18.767853967257857
2021-11-30,17.3,18.53900069755162
2021-12-01,17.3,18.16587730420641
2021-12-02,17.3,17.62106125742006
2021-12-03,17.3,16.902853063745923
2021-12-04,17.3,16.03527626609286
2021-12-05,17.3,15.068077443725274
2021-12-06,12.3,14.076726212263088
2021-12-07,12.3,13.162415223681737
2021-12-08,12.3,12.402397075474578
2021-12-09,12.3,11.849984310652866
2021-12-10,12.3,11.53454941774577
2021-12-11,12.3,11.461524830800364
2021-12-12,12.3,11.612402929381625
2021-12-13,13.4,11.94473603857244
2021-12-14,13.4,12.39213642897358
2021-12-15,13.4,12.899416575528308
2021-12-16,13.4,13.422589157522372
2021-12-17,13.4,13.928867058584004
2021-12-18,13.4,14.396663366683928
2021-12-19,13.4,14.815591374135366
2021-12-20,16.1,15.186464577594029
2021-12-21,16.1,15.521296678058125
2021-12-22,16.1,15.8303851335261
2021-12-23,16.1,16.122311158996656
2021-12-24,16.1,16.403939726468753
2021-12-25,16.1,16.680419564941623
2021-12-26,16.1,16.955183160414744
